Activity Type,Date,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length
Running,29/08/2020 13:15,5,348,0:26:53,150,168,3.1,169,181,5:22,4:34,61,61,1.1
Cardio,29/08/2020 10:02,0,316,1:01:09,98,152,1,--,--,--,--,--,--,0
Cardio,27/08/2020 18:02,0,328,0:58:15,102,147,0.8,--,--,--,--,--,--,0
Running,27/08/2020 16:19,6,661,0:57:38,144,170,3,123,199,9:36,3:27,314,324,0.83
Running,26/08/2020 14:56,5.01,394,0:30:52,151,171,3.2,163,176,6:10,4:57,111,109,0.99
Running,24/08/2020 18:17,6,509,0:38:16,158,181,3.5,163,170,6:22,4:58,73,80,0.96
Running,23/08/2020 14:18,10.01,751,0:55:28,156,174,4,170,187,5:33,4:38,150,156,1.06
Cardio,22/08/2020 10:01,0,348,1:04:07,100,145,1,--,--,--,--,--,--,0
Running,21/08/2020 15:32,5.01,303,0:24:39,142,169,2.8,173,180,4:55,4:12,60,61,1.18
Cardio,20/08/2020 18:01,0,354,0:58:49,106,159,2,--,--,--,--,--,--,0
Running,20/08/2020 16:36,5.01,397,0:36:20,143,175,2.8,144,247,7:16,3:22,130,159,0.94
Running,19/08/2020 17:14,8.01,544,0:43:04,149,179,3.4,171,177,5:22,4:50,90,120,1.09
Cardio,18/08/2020 18:02,0,354,0:59:23,105,148,1.2,--,--,--,--,--,--,0
Running,17/08/2020 15:19,6.01,432,0:39:13,135,147,2.5,166,172,6:32,0:41,75,72,0.93
Running,16/08/2020 14:12,10,748,0:55:41,155,186,4.2,170,177,5:34,4:47,151,154,1.06
Cardio,15/08/2020 10:01,0,351,1:01:16,104,135,0.6,--,--,--,--,--,--,0
Running,14/08/2020 16:26,5.01,337,0:25:19,152,176,3.2,172,179,5:04,4:23,63,65,1.15
Cardio,13/08/2020 18:03,0,400,1:00:28,111,150,1.4,--,--,--,--,--,--,0
Running,13/08/2020 16:48,3.01,200,0:25:14,119,150,1.4,131,245,8:24,2:48,103,106,0.9
Running,12/08/2020 17:30,7.01,499,0:38:46,150,167,3.5,168,175,5:32,4:57,85,87,1.08
